areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2021-09-28,50_to_54,10998.4,210214
E92000001,England,nation,2021-09-28,35_to_39,13236.4,245266
E92000001,England,nation,2021-09-28,40_to_44,13030.0,225454
E92000001,England,nation,2021-09-28,45_to_49,11804.5,212860
E92000001,England,nation,2021-09-28,65_to_69,6308.3,85018
E92000001,England,nation,2021-09-28,90+,13379.1,22684
E92000001,England,nation,2021-09-28,55_to_59,9815.8,181847
E92000001,England,nation,2021-09-28,20_to_24,18007.9,322648
E92000001,England,nation,2021-09-28,15_to_19,17596.3,281796
E92000001,England,nation,2021-09-28,5_to_9,7185.3,130368
E92000001,England,nation,2021-09-28,60_to_64,8442.2,132415
E92000001,England,nation,2021-09-28,10_to_14,13366.3,235498
E92000001,England,nation,2021-09-28,25_to_29,15965.6,307244
E92000001,England,nation,2021-09-28,0_to_4,4406.7,73252
E92000001,England,nation,2021-09-28,85_to_89,9378.9,33406
E92000001,England,nation,2021-09-28,70_to_74,5178.6,69596
E92000001,England,nation,2021-09-27,15_to_19,17504.6,280328
E92000001,England,nation,2021-09-27,35_to_39,13200.2,244595
E92000001,England,nation,2021-09-27,0_to_4,4386.0,72909
E92000001,England,nation,2021-09-27,30_to_34,14644.1,280641
E92000001,England,nation,2021-09-27,50_to_54,10957.5,209432
E92000001,England,nation,2021-09-27,20_to_24,17987.7,322286
E92000001,England,nation,2021-09-27,90+,13367.9,22665
E92000001,England,nation,2021-09-27,5_to_9,7109.6,128994
E92000001,England,nation,2021-09-27,45_to_49,11754.6,211960
E92000001,England,nation,2021-09-27,70_to_74,5163.1,69388
E92000001,England,nation,2021-09-27,40_to_44,12981.1,224608
E92000001,England,nation,2021-09-27,60_to_64,8417.8,132032
E92000001,England,nation,2021-09-27,65_to_69,6290.1,84773
E92000001,England,nation,2021-09-27,55_to_59,9786.2,181298
E92000001,England,nation,2021-09-27,75_to_79,5602.2,52329
E92000001,England,nation,2021-09-27,10_to_14,13150.1,231689
E92000001,England,nation,2021-09-27,25_to_29,15942.9,306808
E92000001,England,nation,2021-09-27,85_to_89,9362.6,33348
E92000001,England,nation,2021-09-27,80_to_84,6763.6,43288
E92000001,England,nation,2021-09-26,60_to_64,8391.8,131625
E92000001,England,nation,2021-09-26,75_to_79,5583.4,52153
E92000001,England,nation,2021-09-26,85_to_89,9343.8,33281
E92000001,England,nation,2021-09-26,80_to_84,6747.5,43185
E92000001,England,nation,2021-09-26,55_to_59,9751.6,180658
E92000001,England,nation,2021-09-26,40_to_44,12923.0,223603
E92000001,England,nation,2021-09-26,45_to_49,11697.2,210925
E92000001,England,nation,2021-09-26,0_to_4,4364.8,72555
E92000001,England,nation,2021-09-26,70_to_74,5145.7,69155
E92000001,England,nation,2021-09-26,50_to_54,10910.3,208530
E92000001,England,nation,2021-09-26,10_to_14,12881.6,226957
E92000001,England,nation,2021-09-26,30_to_34,14615.0,280084
E92000001,England,nation,2021-09-26,5_to_9,7018.0,127332
E92000001,England,nation,2021-09-26,90+,13343.7,22624
E92000001,England,nation,2021-09-26,20_to_24,17965.2,321882
E92000001,England,nation,2021-09-26,15_to_19,17391.0,278509
E92000001,England,nation,2021-09-26,25_to_29,15917.4,306317
E92000001,England,nation,2021-09-26,35_to_39,13159.2,243835
E92000001,England,nation,2021-09-26,65_to_69,6267.7,84471
E92000001,England,nation,2021-09-25,10_to_14,12658.5,223026
E92000001,England,nation,2021-09-25,15_to_19,17298.7,277030
E92000001,England,nation,2021-09-25,75_to_79,5570.0,52028
E92000001,England,nation,2021-09-25,20_to_24,17948.5,321584
E92000001,England,nation,2021-09-25,35_to_39,13130.8,243309
E92000001,England,nation,2021-09-25,90+,13334.9,22609
E92000001,England,nation,2021-09-25,50_to_54,10875.3,207862
E92000001,England,nation,2021-09-25,30_to_34,14595.1,279703
E92000001,England,nation,2021-09-25,0_to_4,4348.2,72280
E92000001,England,nation,2021-09-25,45_to_49,11654.1,210147
E92000001,England,nation,2021-09-25,80_to_84,6735.1,43106
E92000001,England,nation,2021-09-25,60_to_64,8368.6,131261
E92000001,England,nation,2021-09-25,85_to_89,9332.3,33240
E92000001,England,nation,2021-09-25,25_to_29,15902.2,306024
E92000001,England,nation,2021-09-25,70_to_74,5130.9,68956
E92000001,England,nation,2021-09-25,65_to_69,6249.2,84222
E92000001,England,nation,2021-09-25,5_to_9,6957.4,126233
E92000001,England,nation,2021-09-25,55_to_59,9726.8,180198
E92000001,England,nation,2021-09-25,40_to_44,12877.7,222819
E92000001,England,nation,2021-09-24,70_to_74,5114.3,68732
E92000001,England,nation,2021-09-24,30_to_34,14575.2,279320
E92000001,England,nation,2021-09-24,35_to_39,13101.7,242771
E92000001,England,nation,2021-09-24,75_to_79,5556.6,51903
E92000001,England,nation,2021-09-24,80_to_84,6723.2,43030
E92000001,England,nation,2021-09-24,25_to_29,15885.5,305704
E92000001,England,nation,2021-09-24,60_to_64,8348.1,130939
E92000001,England,nation,2021-09-24,50_to_54,10843.7,207258
E92000001,England,nation,2021-09-24,10_to_14,12495.8,220161
E92000001,England,nation,2021-09-24,65_to_69,6233.4,84009
E92000001,England,nation,2021-09-24,20_to_24,17935.0,321342
E92000001,England,nation,2021-09-24,0_to_4,4332.6,72021
E92000001,England,nation,2021-09-24,85_to_89,9319.1,33193
E92000001,England,nation,2021-09-24,55_to_59,9702.3,179744
E92000001,England,nation,2021-09-24,45_to_49,11613.2,209411
E92000001,England,nation,2021-09-24,5_to_9,6894.5,125091
E92000001,England,nation,2021-09-24,15_to_19,17229.2,275918
E92000001,England,nation,2021-09-24,90+,13322.5,22588
E92000001,England,nation,2021-09-24,40_to_44,12832.2,222032
E92000001,England,nation,2021-09-23,10_to_14,12316.4,216999
E92000001,England,nation,2021-09-23,15_to_19,17157.2,274765
E92000001,England,nation,2021-09-23,30_to_34,14550.8,278853
E92000001,England,nation,2021-09-23,5_to_9,6824.2,123815
E92000001,England,nation,2021-09-23,90+,13306.0,22560
E92000001,England,nation,2021-09-23,80_to_84,6709.3,42941
